State,Category,Rating,,,,,,,,,,,
Arizona,avg_american,3.5,,,,,,,,,,,
Arizona,avg_italian,3.508196721,,,,,,,,,,,
Arizona,avg_chinese,3.389189189,,,,,,,,,,,
Arizona,avg_japanese,3.463855422,,,,,,,,,,,
Arizona,avg_indian,3.594594595,,,,,,,,,,,
Arizona,avg_mexican,3.399793388,,,,,,,,,,,
Illinois,avg_american,3.181818182,,,,,,,,,,,
Illinois,avg_italian,3.071428571,,,,,,,,,,,
Illinois,avg_chinese,3.28125,,,,,,,,,,,
Illinois,avg_japanese,2.8,,,,,,,,,,,
Illinois,avg_indian,3.7,,,,,,,,,,,
Illinois,avg_mexican,3.717391304,,,,,,,,,,,
Nevada,avg_american,3.543209877,,,,,,,,,,,
Nevada,avg_italian,3.322033898,,,,,,,,,,,
Nevada,avg_chinese,3.231343284,,,,,,,,,,,
Nevada,avg_japanese,3.532258065,,,,,,,,,,,
Nevada,avg_indian,3.5,,,,,,,,,,,
Nevada,avg_mexican,3.461165049,,,,,,,,,,,
North Carolina,avg_american,3.654135338,,,,,,,,,,,
North Carolina,avg_italian,3.465116279,,,,,,,,,,,
North Carolina,avg_chinese,3.414383562,,,,,,,,,,,
North Carolina,avg_japanese,3.764705882,,,,,,avg_american,avg_italian,avg_chinese,avg_japanese,avg_indian,avg_mexican
North Carolina,avg_indian,3.375,,,,,,,,,,,
North Carolina,avg_mexican,3.539370079,,,,,,,,,,,
Ohio,avg_american,3.445945946,,,,,,,,,,,
Ohio,avg_italian,3.463157895,,,,,,,,,,,
Ohio,avg_chinese,3.322916667,,,,,,,,,,,
Ohio,avg_japanese,3.612903226,,,,,,,,,,,
Ohio,avg_indian,3.90625,,,,,,,,,,,
Ohio,avg_mexican,3.271276596,,,,,,,,,,,
Pennsylvania,avg_american,3.467032967,,,,,,,,,,,
Pennsylvania,avg_italian,3.398148148,,,,,,,,,,,
Pennsylvania,avg_chinese,3.371428571,,,,,,,,,,,
Pennsylvania,avg_japanese,3.388888889,,,,,,,,,,,
Pennsylvania,avg_indian,3.5,,,,,,,,,,,
Pennsylvania,avg_mexican,3.340425532,,,,,,,,,,,
South Carolina,avg_american,2.7,,,3.333333333,,,,,,,,
South Carolina,avg_italian,3.285714286,,,,,,,,,,,
South Carolina,avg_chinese,3.363636364,,,,,,,,,,,
South Carolina,avg_japanese,3.333333333,,,,,,,,,,,
South Carolina,avg_indian,4,,,,,,,,,,,
South Carolina,avg_mexican,3.363636364,,,,,,,,,,,
Wisconsin,avg_american,2.956521739,,,,,,,,,,,
Wisconsin,avg_italian,3.338235294,,,,,,,,,,,
Wisconsin,avg_chinese,3.321428571,,,,,,,,,,,
Wisconsin,avg_japanese,3.75,,,,,,,,,,,
Wisconsin,avg_indian,3.583333333,,,,,,,,,,,
Wisconsin,avg_mexican,3.474358974,,,,,,,,,,,
